ID;CREDPAY;MEST;CHLICO;DOXODSN;DENRAS
12062;11166;2;2;55292,5;38626,5
12063;0;2;4;82290,85;63290,85
12064;0;2;1;62006,6;60506,6
12065;3367,58;2;3;150732,03;137364,45
12066;0;2;1;33712,55;33712,55
12068;0;2;2;47855,8;47855,8
12069;0;2;3;59085,4;59085,4
12070;0;2;2;59322,1;59322,1
12071;9000;2;2;48288,06;31688,06
12072;32400;2;4;88950,44;53950,44
12074;0;2;4;100371,5;96371,5
12075;0;2;2;45474,5;42974,5
12076;0;2;2;45624,5;43124,5
12077;0;2;3;67935;65435
12078;0;2;2;127014,95;123514,95
12081;0;2;1;41363,19;40863,19
12082;0;2;4;60546,3;57546,3
12083;0;2;2;34225,2;32425,2
12085;0;2;3;156453,7;121453,7
12086;0;2;3;103031,16;73031,16
12087;6500;2;2;70640,5;64140,5
12089;36000;2;2;179227,5;143227,5
12090;0;2;2;85529,6;73029,6
12147;6000;2;2;86120;74120
12148;0;2;2;97266,5;67266,5
12149;0;2;2;96527,92;89027,92
12150;6000;2;2;43417,33;34917,33
12155;18500;2;2;116620,5;95120,5
12156;0;2;3;73173,9;43173,9
12158;0;2;4;68631,06;53631,06
12159;0;2;3;48079,41;48079,41
12160;0;2;2;42877,65;42877,65
12161;16000;2;2;79773,78;63773,78
12162;6000;2;1;96411,71;90011,71
12163;15000;2;4;90264,98;68964,98
12164;11250;2;5;2098380,9;2086130,9
12165;0;2;2;146021;116021
12166;19000;2;4;73077;113077
12168;0;2;4;96687,03;94687,03
12170;9600;2;2;168398;154298
12172;0;2;1;38157,45;26157,45
12173;0;2;2;126256,81;130256,81
12174;0;2;2;119183,6;83183,6
12175;0;2;5;113346,8;93346,8
12177;0;2;3;82134,8;75134,8
12178;0;2;4;123493;122993
12179;0;2;1;92056,6;90056,6
12180;0;2;4;95540,4;92540,4
12181;0;2;1;51265,5;73765,5
12182;15000;2;5;227907;200407
12183;0;2;4;149298;141798
12241;0;2;2;101488,5;83488,5
12242;6000;2;2;109907;50907
12243;18000;2;3;125915;132915
12244;0;2;4;245369;147369
12246;0;2;4;101200,88;98700,88
12248;22500;2;2;126249,46;109249,46
12250;17400;2;2;108768,97;89868,97
12251;0;2;2;74470,5;58970,5
12252;0;2;4;78337,69;38337,69
12253;0;2;4;199002,84;163002,84
12256;0;2;2;52547,3;52547,3
12257;0;2;2;45807,78;45807,78
12258;0;2;2;62658,11;57658,11
12259;34986;2;2;114758,52;75472,52
12260;61650;2;5;144141,57;73791,57
12264;0;2;1;43314;37314
12265;27000;2;2;82497,5;57997,5
12266;0;2;3;54727,5;52227,5
12267;0;2;2;62687,5;60187,5
12272;0;2;3;158764,5;154664,5
12273;20505;2;4;179415,02;155410,02
12274;0;2;2;85738,27;53738,27
12275;0;2;2;160309,01;91309,01
12276;0;2;2;79455,26;99455,26
12278;11706;2;1;45561,1;31855,1
12282;0;2;2;96282,2;84282,2
12285;1200;2;2;102589,5;88889,5
12337;0;2;2;107874,5;77874,5
12338;15000;2;2;205167,5;190167,5
12339;0;2;2;47754;67754
12340;7155;2;2;82825,5;72670,5
12341;0;2;3;46217;46217
12342;33000;2;2;160151,86;99651,86
12345;0;2;3;74555,85;69055,85
12346;8200;2;1;39235;29035
12347;15000;2;2;52387,5;32887,5
12349;0;2;2;31073,5;29873,5
12350;0;2;4;102292,5;84292,5
12351;0;2;2;118381,83;34381,83
12352;0;2;4;37448,2;33448,2
12353;0;2;2;55045,91;35045,91
12354;6000;2;3;63319,75;37319,75
12355;0;2;2;43483,45;43483,45
12357;0;2;2;30029,55;30029,55
12358;0;2;2;61005,8;56005,8
12361;9000;2;1;54899,79;40699,79
12363;25641;2;2;93660,08;66119,08
12366;0;2;2;80250;77750
12367;0;2;6;86927,14;86427,14
12368;0;2;1;37957,33;65957,33
12370;28800;2;2;83446,1;58646,1
12371;0;2;2;117310,02;102310,02
12374;18429,31;2;2;104548,6;83619,29
12375;17010;2;4;106396,8;88786,8
12376;0;2;1;31860;28660
12378;2640;2;3;42930,6;39290,6
12380;0;2;2;97740,57;64740,57
12381;0;2;1;75529,12;65529,12
12382;0;2;4;114371,84;76371,84
12383;0;2;2;109220,09;76220,09
12388;0;2;1;30463,9;26463,9
12390;10000;2;4;107101;84601
12392;0;2;2;73576;73576
12452;30000;2;3;76677;96677
12453;0;2;2;146211;116211
12454;0;2;3;77860,37;70360,37
12458;0;2;2;75325,94;67825,94
12459;0;2;2;59451,6;58451,6
12461;27429;2;2;97263;64034
12462;0;2;2;77838,03;57838,03
12466;0;2;4;70094,21;40094,21
12469;19221,1;2;2;70448,2;50227,1
12472;0;2;2;81619;53619
12473;0;2;4;127676,6;126476,6
12474;0;2;2;58650,5;56150,5
12475;0;2;2;51138,5;48638,5
12477;0;2;2;41393,5;38893,5
12478;0;2;1;27648,04;27148,04
12481;10836;2;3;132589,3;120853,3
12488;0;2;1;73191,4;53191,4
12489;0;2;1;43556,85;36056,85
12490;0;2;4;215041,5;215041,5
12548;0;2;1;50403,5;50403,5
12553;0;2;4;43274;41474
12554;15000;2;2;65873,5;47073,5
12558;0;2;4;47459,26;44459,26
12559;0;2;1;47403,41;46403,41
12560;0;2;1;74453,5;49453,5
12569;0;2;2;58599,5;58598,5
12574;0;2;2;38062,31;36062,31
12576;11340;2;3;76416,25;63076,25
12577;0;2;1;61454,43;36454,43
12578;0;2;3;83819,38;63819,38
12580;0;2;2;66005,25;65005,25
12582;0;2;4;80518,18;76318,18
12583;0;2;1;37488,1;35488,1
12584;0;2;1;32150,71;20150,71
12586;0;2;2;118053,22;110053,22
12587;0;2;3;87691,12;86891,12
12656;0;2;1;45099;40299
12657;0;2;2;59985,5;56485,5
12660;0;2;2;34029;32529
12669;0;2;3;76202,54;76202,54
12671;0;2;1;25125,38;25125,38
12673;15000;2;1;80164,5;47164,5
12674;0;2;1;37128;36828
12677;0;2;3;65999;63499
12681;7344;2;6;79777,45;71433,45
12693;7500;2;2;65531,98;56531,98
12694;0;2;3;109198;101698
12756;25000;2;3;152415,61;125415,61
12763;0;2;2;64571;60071
12772;0;2;2;43036,08;43036,08
12777;0;2;2;40366;37866
12778;0;2;3;95719,12;185719,12
12780;7337;2;2;121966,83;111629,83
12782;10560;2;4;99353,83;86293,83
12784;0;2;2;83771,18;34771,18
12837;0;2;2;61088,5;59088,5
12839;0;2;4;184173,5;184173,5
12840;0;2;3;119739,97;112239,97
12843;0;2;4;112876;76876
12845;0;2;2;52066,35;42066,35
12847;0;2;1;33521,73;33521,73
12848;0;2;1;34324,3;34324,3
12851;10500;2;5;127233,73;107233,73
12852;46500;2;5;135551,89;69051,89
12855;3000;2;2;74285,5;68785,5
12857;0;2;3;70321,5;67821,5
12858;0;2;3;79295,5;79294,5
12859;12050;2;2;430119,83;113069,83
12867;0;2;1;48280,27;47780,27
12869;0;2;2;95348,97;69348,97
12873;15000;2;1;72385;57385
12876;0;2;2;105315,5;82815,5
12937;15000;2;3;115833,75;98333,75
12938;0;2;2;130090,16;122590,16
12952;0;2;2;49599;47099
12962;0;2;1;58809,88;25809,88
12967;0;2;2;137488;82488
13048;0;2;2;59301;53801
13055;0;2;1;42430,31;42430,31
13059;23625;2;3;113815,37;120190,37
13062;18000;2;2;153642;135142
13075;0;2;3;154117,5;131617,5
13148;0;2;2;54655;52155
13159;0;2;1;48526,5;48026,5
13163;0;2;1;55606;48106
13165;9000;2;5;115566,5;89066,5
13227;0;2;2;157808;127808
13230;0;2;3;89495,75;59495,75
13235;0;2;1;16517,23;16517,23
13243;6000;2;2;82000;73500
13249;0;2;1;33894,5;33394,5
13320;19200;2;1;87702,7;38502,7
13346;5000;2;2;101828,15;110828,15
13356;0;2;1;42163,83;36163,83
13359;0;2;2;62877,95;60677,95
13404;0;2;2;61861;61860
13486;0;2;1;42503,21;42003,21
13492;0;2;2;77922;37922
13496;0;2;2;50311,5;47811,5
13499;0;2;2;94145,25;93145,25
